txn_id,timestamp,user_id,kyc_tier,account_age_days,channel,txn_type,amount_ngn,beneficiary_id,beneficiary_bank,beneficiary_country,beneficiary_new,device_id,device_new,ip_country,name_match_score,status
TXN-100001,2026-06-30 00:00:51,USR-3367,1,1064,app,transfer_in,1041.93,BEN-3854,GTBank,NG,0,DEV-87182,0,NG,1.0,completed
TXN-100002,2026-06-30 00:02:29,USR-1084,2,425,app,transfer_out,4092.25,BEN-9837,GTBank,NG,0,DEV-71644,0,NG,0.94,completed
TXN-100003,2026-06-30 00:13:44,USR-2622,2,147,pos,transfer_out,33129.75,BEN-5295,Access Bank,NG,0,DEV-44663,0,NG,0.96,completed
TXN-100004,2026-06-30 00:37:03,USR-0285,3,1846,ussd,transfer_out,10213.19,BEN-2330,Zenith Bank,NG,0,DEV-50026,0,NG,0.97,completed
TXN-100005,2026-06-30 00:41:34,USR-1456,2,1789,pos,transfer_out,15672.01,BEN-4267,UBA,NG,1,DEV-54548,0,NG,0.95,completed
TXN-100006,2026-06-30 00:56:35,USR-1139,1,1052,app,card_spend,11724.21,,,NG,0,DEV-98184,0,NG,0.95,completed
TXN-100007,2026-06-30 01:06:43,USR-2070,2,734,pos,transfer_out,19421.35,BEN-2113,First Bank,NG,0,DEV-17455,0,NG,0.96,completed
TXN-100008,2026-06-30 01:07:11,USR-1084,2,425,app,card_spend,21459.55,,,NG,0,DEV-71644,0,NG,0.96,completed
TXN-100009,2026-06-30 01:09:39,USR-1379,2,1102,pos,transfer_out,2123.91,BEN-8939,First Bank,NG,0,DEV-93579,0,NG,0.95,completed
TXN-100010,2026-06-30 01:13:12,USR-0457,2,1166,web,card_spend,3002.71,,,NG,0,DEV-86622,0,NG,0.97,completed
TXN-100011,2026-06-30 01:20:55,USR-3306,3,1523,ussd,transfer_out,10620.91,BEN-1508,First Bank,NG,0,DEV-39389,0,NG,0.95,completed
TXN-100012,2026-06-30 01:21:50,USR-0285,3,1846,web,transfer_in,10692.54,BEN-2330,OPay,NG,0,DEV-50026,0,NG,0.99,completed
TXN-100013,2026-06-30 01:23:50,USR-1482,2,607,ussd,transfer_out,8475.95,BEN-3233,Moniepoint,NG,1,DEV-93606,0,NG,0.95,completed
TXN-100014,2026-06-30 01:36:42,USR-2800,3,1646,app,transfer_out,34093.74,BEN-2121,GTBank,NG,0,DEV-51505,0,NG,0.98,completed
TXN-100015,2026-06-30 01:42:12,USR-0667,2,720,app,transfer_in,30028.49,BEN-8905,Stanbic IBTC,NG,0,DEV-75323,0,NG,0.97,completed
TXN-100016,2026-06-30 01:49:52,USR-1495,2,146,app,transfer_in,5187.56,BEN-2858,UBA,NG,0,DEV-82384,0,NG,0.96,completed
TXN-100017,2026-06-30 01:53:00,USR-1139,1,1052,app,transfer_in,2199.63,BEN-1400,Zenith Bank,NG,0,DEV-98184,0,NG,0.96,completed
TXN-100018,2026-06-30 01:57:22,USR-1456,2,1789,app,transfer_out,99841.43,BEN-9022,PalmPay,NG,0,DEV-54548,0,NG,0.99,completed
TXN-100019,2026-06-30 02:05:10,USR-3472,1,1466,app,transfer_out,21077.63,BEN-9751,GTBank,NG,0,DEV-97670,0,NG,0.99,completed
TXN-100020,2026-06-30 02:06:40,USR-2496,2,1625,app,card_spend,745.55,,,NG,0,DEV-66450,0,NG,0.95,completed
TXN-100021,2026-06-30 02:08:52,USR-0701,2,676,pos,transfer_out,54714.91,BEN-1153,Moniepoint,NG,0,DEV-40433,0,NG,0.98,completed
TXN-100022,2026-06-30 02:10:41,USR-3655,2,1032,app,bill_payment,6705.18,,,NG,0,DEV-87128,0,NG,0.94,completed
TXN-100023,2026-06-30 02:21:58,USR-2662,3,726,app,transfer_in,39910.77,BEN-5325,First Bank,NG,0,DEV-45697,0,NG,0.97,completed
TXN-100024,2026-06-30 02:24:48,USR-3148,2,590,pos,card_spend,3704.95,,,NG,0,DEV-69600,0,NG,0.93,completed
TXN-100025,2026-06-30 02:28:35,USR-0384,2,1732,web,transfer_out,34439.15,BEN-7396,Wema/ALAT,NG,0,DEV-17685,0,NG,0.99,completed
TXN-100026,2026-06-30 02:34:53,USR-2262,2,2091,pos,bill_payment,11812.18,,,NG,0,DEV-82768,0,NG,0.93,completed
TXN-100027,2026-06-30 02:37:33,USR-2772,3,1823,ussd,transfer_out,38343.45,BEN-9479,Access Bank,NG,0,DEV-37760,0,NG,0.93,completed
TXN-100028,2026-06-30 03:09:08,USR-2933,2,1329,ussd,bill_payment,101477.54,,,NG,0,DEV-90173,0,NG,0.94,completed
